embedding_model,topic_id,topic_label,document_id,score,x,y,density,color,label,cohesive
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,95,,-0.5853527,3.9961612,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,98,,-1.5317163,3.3431497,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,99,,-2.3286583,5.460289,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,101,,-5.7144346,2.744148,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,111,,-5.6865478,3.3721867,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,115,,-5.2988887,5.1215105,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,118,,-3.8086283,4.164777,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,125,,-2.6295629,4.1769757,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,128,,-5.922212,2.7673829,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,135,,-5.704493,3.7868247,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,136,,-6.2539845,3.7853777,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,138,,-4.9261446,5.73489,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,139,,-1.9114661,1.8844671,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,140,,-5.2846575,4.4587274,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,141,,-1.2082812,1.7903645,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,143,,-5.8866158,2.964931,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,146,,-5.4282002,5.446847,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,148,,-4.706774,5.29983,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,151,,-5.3697805,5.621389,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,153,,-4.2118344,5.0713735,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,156,,-5.603083,4.2666607,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,158,,-4.4142604,4.1814666,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,159,,-2.9937196,4.4138427,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,160,,-5.624298,4.4387455,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,164,,-2.78304,5.542683,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,165,,-5.014855,5.201566,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,167,,-5.470058,5.051921,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,168,,-5.954009,3.79818,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,170,,-1.045305,3.2445138,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,176,,-1.1027288,4.1740594,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,180,,-2.9539647,2.7618499,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,182,,-1.3627443,3.7701724,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,185,,-1.4385719,3.8315847,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,196,,0.028387912,3.741851,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,197,,0.3858273,3.5489178,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,198,,-0.28199244,4.9007616,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,202,,0.33168706,3.6832407,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,210,,-0.02974489,4.09779,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,220,,-4.9685354,5.3640327,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,221,,-5.4408393,3.8828087,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,223,,-3.7107792,4.4222293,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,227,,-3.7484121,3.0839639,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,229,,0.06620207,3.6894197,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,231,,-5.1719546,5.070034,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,234,,-0.15139128,4.179104,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,237,,0.7317578,3.5691664,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,244,,0.86252135,3.6486826,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,248,,0.07552604,3.0355904,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,252,,-2.4648676,4.4652658,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,253,,-4.9358954,3.4407973,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,254,,-5.0128503,3.0393636,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,255,,-5.404082,5.3156815,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,257,,-3.6330214,4.351478,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,260,,-2.1660414,2.4805136,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,261,,-2.3304443,3.6283321,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,262,,-0.7782429,3.967915,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,264,,-4.434086,4.6875434,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,265,,-5.4365163,4.846577,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,266,,0.583586,3.6569889,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,271,,0.69420505,3.0717206,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,273,,-4.4131474,4.37609,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,274,,-2.4681535,4.0766625,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,283,,-1.1931049,2.1746502,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,288,,-3.4911792,3.2248464,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,292,,-3.4895916,3.9037116,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,293,,-5.655268,2.6123238,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,294,,-6.321366,3.7836666,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,295,,-4.136082,3.915046,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,302,,-2.2822733,2.823961,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,307,,-3.5744653,3.6683204,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,309,,-4.4589205,3.8602998,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,310,,-5.901243,3.9001498,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,315,,-5.519531,4.6906934,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,317,,-5.247103,2.85525,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,319,,-4.944102,1.9684904,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,321,,-5.8894353,4.52615,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,322,,-5.4914236,2.5089989,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,324,,-2.7292404,5.3875036,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,326,,-4.650718,2.672397,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,327,,-4.1925592,4.285549,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,329,,-4.967777,2.0418425,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,331,,-4.921423,4.1727176,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,332,,-5.3681345,3.0910213,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,333,,-5.4948153,2.7464435,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,341,,-3.3641758,2.5432274,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,342,,-6.051609,5.202955,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,344,,-4.9226084,4.7422986,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,345,,-5.2103677,5.0536337,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,346,,-4.677181,4.1664357,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
