embedding_model,topic_id,topic_label,document_id,score,x,y,density,color,label,cohesive
all-MiniLM-L6-v2,5,"discovery, truth",408,,12.258373,7.826952,0.34453272819519043,"(0.8392156862745098, 0.15294117647058825, 0.1568627450980392, 1.0)","T5
0.34",True
all-MiniLM-L6-v2,5,"discovery, truth",424,,12.4316845,7.529606,0.34453272819519043,"(0.8392156862745098, 0.15294117647058825, 0.1568627450980392, 1.0)","T5
0.34",True
all-MiniLM-L6-v2,5,"discovery, truth",458,,11.959469,7.7580795,0.34453272819519043,"(0.8392156862745098, 0.15294117647058825, 0.1568627450980392, 1.0)","T5
0.34",True
all-MiniLM-L6-v2,5,"discovery, truth",467,,11.869322,8.173252,0.34453272819519043,"(0.8392156862745098, 0.15294117647058825, 0.1568627450980392, 1.0)","T5
0.34",True
all-MiniLM-L6-v2,5,"discovery, truth",469,,11.870054,8.151364,0.34453272819519043,"(0.8392156862745098, 0.15294117647058825, 0.1568627450980392, 1.0)","T5
0.34",True
all-MiniLM-L6-v2,5,"discovery, truth",471,,11.951991,7.7433414,0.34453272819519043,"(0.8392156862745098, 0.15294117647058825, 0.1568627450980392, 1.0)","T5
0.34",True
all-MiniLM-L6-v2,5,"discovery, truth",472,,11.979859,7.7883377,0.34453272819519043,"(0.8392156862745098, 0.15294117647058825, 0.1568627450980392, 1.0)","T5
0.34",True
all-MiniLM-L6-v2,5,"discovery, truth",473,,12.11655,7.898619,0.34453272819519043,"(0.8392156862745098, 0.15294117647058825, 0.1568627450980392, 1.0)","T5
0.34",True
all-MiniLM-L6-v2,5,"discovery, truth",479,,11.948643,7.675642,0.34453272819519043,"(0.8392156862745098, 0.15294117647058825, 0.1568627450980392, 1.0)","T5
0.34",True
all-MiniLM-L6-v2,5,"discovery, truth",485,,11.999937,8.0623,0.34453272819519043,"(0.8392156862745098, 0.15294117647058825, 0.1568627450980392, 1.0)","T5
0.34",True
all-MiniLM-L6-v2,5,"discovery, truth",486,,12.074872,7.816197,0.34453272819519043,"(0.8392156862745098, 0.15294117647058825, 0.1568627450980392, 1.0)","T5
0.34",True
all-MiniLM-L6-v2,6,"task, lab",282,,12.492301,10.192951,0.39388030767440796,"(1.0, 0.596078431372549, 0.5882352941176471, 1.0)","T6
0.39",True
all-MiniLM-L6-v2,6,"task, lab",296,,12.451656,11.202845,0.39388030767440796,"(1.0, 0.596078431372549, 0.5882352941176471, 1.0)","T6
0.39",True
all-MiniLM-L6-v2,6,"task, lab",342,,12.4558115,11.1847515,0.39388030767440796,"(1.0, 0.596078431372549, 0.5882352941176471, 1.0)","T6
0.39",True
all-MiniLM-L6-v2,6,"task, lab",360,,12.511369,11.118162,0.39388030767440796,"(1.0, 0.596078431372549, 0.5882352941176471, 1.0)","T6
0.39",True
all-MiniLM-L6-v2,6,"task, lab",379,,12.591741,11.274242,0.39388030767440796,"(1.0, 0.596078431372549, 0.5882352941176471, 1.0)","T6
0.39",True
all-MiniLM-L6-v2,6,"task, lab",384,,12.579353,11.082526,0.39388030767440796,"(1.0, 0.596078431372549, 0.5882352941176471, 1.0)","T6
0.39",True
all-MiniLM-L6-v2,6,"task, lab",385,,12.458018,11.132079,0.39388030767440796,"(1.0, 0.596078431372549, 0.5882352941176471, 1.0)","T6
0.39",True
all-MiniLM-L6-v2,6,"task, lab",388,,12.5706835,10.700367,0.39388030767440796,"(1.0, 0.596078431372549, 0.5882352941176471, 1.0)","T6
0.39",True
all-MiniLM-L6-v2,6,"task, lab",399,,12.399064,11.127489,0.39388030767440796,"(1.0, 0.596078431372549, 0.5882352941176471, 1.0)","T6
0.39",True
all-MiniLM-L6-v2,6,"task, lab",415,,12.700541,10.844726,0.39388030767440796,"(1.0, 0.596078431372549, 0.5882352941176471, 1.0)","T6
0.39",True
all-MiniLM-L6-v2,6,"task, lab",428,,12.668853,10.386916,0.39388030767440796,"(1.0, 0.596078431372549, 0.5882352941176471, 1.0)","T6
0.39",True
all-MiniLM-L6-v2,6,"task, lab",438,,12.686162,10.928248,0.39388030767440796,"(1.0, 0.596078431372549, 0.5882352941176471, 1.0)","T6
0.39",True
all-MiniLM-L6-v2,6,"task, lab",452,,12.528962,11.167708,0.39388030767440796,"(1.0, 0.596078431372549, 0.5882352941176471, 1.0)","T6
0.39",True
all-MiniLM-L6-v2,7,Credibility Assessment,1,,15.110281,7.009962,0.4006168246269226,"(0.5803921568627451, 0.403921568627451, 0.7411764705882353, 1.0)","T7
0.40",True
all-MiniLM-L6-v2,7,Credibility Assessment,2,,14.857128,6.9811234,0.4006168246269226,"(0.5803921568627451, 0.403921568627451, 0.7411764705882353, 1.0)","T7
0.40",True
all-MiniLM-L6-v2,7,Credibility Assessment,220,,15.112875,7.016695,0.4006168246269226,"(0.5803921568627451, 0.403921568627451, 0.7411764705882353, 1.0)","T7
0.40",True
all-MiniLM-L6-v2,7,Credibility Assessment,284,,14.990853,7.013413,0.4006168246269226,"(0.5803921568627451, 0.403921568627451, 0.7411764705882353, 1.0)","T7
0.40",True
all-MiniLM-L6-v2,7,Credibility Assessment,369,,15.629598,7.0760474,0.4006168246269226,"(0.5803921568627451, 0.403921568627451, 0.7411764705882353, 1.0)","T7
0.40",True
all-MiniLM-L6-v2,7,Credibility Assessment,380,,15.43308,7.225482,0.4006168246269226,"(0.5803921568627451, 0.403921568627451, 0.7411764705882353, 1.0)","T7
0.40",True
all-MiniLM-L6-v2,7,Credibility Assessment,406,,15.120973,7.065268,0.4006168246269226,"(0.5803921568627451, 0.403921568627451, 0.7411764705882353, 1.0)","T7
0.40",True
all-MiniLM-L6-v2,7,Credibility Assessment,407,,15.358794,7.076975,0.4006168246269226,"(0.5803921568627451, 0.403921568627451, 0.7411764705882353, 1.0)","T7
0.40",True
all-MiniLM-L6-v2,7,Credibility Assessment,443,,15.375498,6.932967,0.4006168246269226,"(0.5803921568627451, 0.403921568627451, 0.7411764705882353, 1.0)","T7
0.40",True
all-MiniLM-L6-v2,7,Credibility Assessment,480,,15.056317,7.747087,0.4006168246269226,"(0.5803921568627451, 0.403921568627451, 0.7411764705882353, 1.0)","T7
0.40",True
all-MiniLM-L6-v2,7,Credibility Assessment,491,,15.014564,7.0351686,0.4006168246269226,"(0.5803921568627451, 0.403921568627451, 0.7411764705882353, 1.0)","T7
0.40",True
all-MiniLM-L6-v2,7,Credibility Assessment,492,,14.757174,6.9069204,0.4006168246269226,"(0.5803921568627451, 0.403921568627451, 0.7411764705882353, 1.0)","T7
0.40",True
all-MiniLM-L6-v2,7,Credibility Assessment,493,,14.923729,6.896694,0.4006168246269226,"(0.5803921568627451, 0.403921568627451, 0.7411764705882353, 1.0)","T7
0.40",True
all-MiniLM-L6-v2,8,Misinformation & Propaganda,34,,16.659464,7.493591,0.28059861063957214,"(0.7725490196078432, 0.6901960784313725, 0.8352941176470589, 1.0)","T8
0.28",True
all-MiniLM-L6-v2,8,Misinformation & Propaganda,65,,16.469986,7.335753,0.28059861063957214,"(0.7725490196078432, 0.6901960784313725, 0.8352941176470589, 1.0)","T8
0.28",True
all-MiniLM-L6-v2,8,Misinformation & Propaganda,91,,16.521654,7.243214,0.28059861063957214,"(0.7725490196078432, 0.6901960784313725, 0.8352941176470589, 1.0)","T8
0.28",True
all-MiniLM-L6-v2,8,Misinformation & Propaganda,180,,16.514557,7.398956,0.28059861063957214,"(0.7725490196078432, 0.6901960784313725, 0.8352941176470589, 1.0)","T8
0.28",True
all-MiniLM-L6-v2,8,Misinformation & Propaganda,183,,16.775919,7.6480737,0.28059861063957214,"(0.7725490196078432, 0.6901960784313725, 0.8352941176470589, 1.0)","T8
0.28",True
all-MiniLM-L6-v2,8,Misinformation & Propaganda,191,,16.612806,7.268767,0.28059861063957214,"(0.7725490196078432, 0.6901960784313725, 0.8352941176470589, 1.0)","T8
0.28",True
all-MiniLM-L6-v2,8,Misinformation & Propaganda,244,,16.556595,7.680396,0.28059861063957214,"(0.7725490196078432, 0.6901960784313725, 0.8352941176470589, 1.0)","T8
0.28",True
all-MiniLM-L6-v2,8,Misinformation & Propaganda,260,,16.640568,7.2562847,0.28059861063957214,"(0.7725490196078432, 0.6901960784313725, 0.8352941176470589, 1.0)","T8
0.28",True
all-MiniLM-L6-v2,8,Misinformation & Propaganda,262,,16.695517,7.275446,0.28059861063957214,"(0.7725490196078432, 0.6901960784313725, 0.8352941176470589, 1.0)","T8
0.28",True
all-MiniLM-L6-v2,8,Misinformation & Propaganda,310,,16.44237,7.2264214,0.28059861063957214,"(0.7725490196078432, 0.6901960784313725, 0.8352941176470589, 1.0)","T8
0.28",True
all-MiniLM-L6-v2,8,Misinformation & Propaganda,316,,16.362385,7.4426804,0.28059861063957214,"(0.7725490196078432, 0.6901960784313725, 0.8352941176470589, 1.0)","T8
0.28",True
